age_range_description,prop_NG,prop_PG,age
under 20,0.000655666047426511,0.000327833023713255,17.5
20 to 24,0.0123549380279466,0.00331570221836267,22.5
25 to 29,0.0550477080136118,0.012944551945019,27.5
30 to 34,0.106557105463702,0.0275670123587688,32.5
35 to 39,0.125493261856898,0.0426252698979972,37.5
40 to 44,0.127859128822984,0.0566079703429101,42.5
45 to 49,0.13791265278148,0.0688801736282984,47.5
50 to 54,0.146675615919141,0.0822015161086545,52.5
55 to 59,0.137231036731145,0.102455987828733,57.5
60 to 64,0.108003699874857,0.121388541269928,62.5
65 to 69,0.067424991757336,0.1454830201121,67.5
70 and over,0.021301775147929,0.139458112737465,72.5
