Occupation_description,Claiming_PP,average_salary,n_individuals,salary_difference,prop_claim_losses,Average salary
Labourers,Claiming PP losses,50371.109375,3200,12572.5268330525,0.00313925540785795,50371.109375
Sales workers,Claiming PP losses,53636.1481481481,1350,19650.312415122,0.00172479877347643,53636.1481481481
Community workers,Claiming PP losses,53669.32,1250,17213.2561981701,0.00121518495114956,53669.32
Clerical/Admin.,Claiming PP losses,56183.6,2750,9732.31885384876,0.00186156710103232,56183.6
"Consultants, apprentices ",Claiming PP losses,68694.0357142857,2800,26805.1292732147,0.00294303132226193,68694.0357142857
Machinery operators & drivers,Claiming PP losses,83113.4736842105,2850,21167.8919300599,0.004756738713177,83113.4736842105
Technicians & Trades Workers,Claiming PP losses,87683.1764705882,4250,26501.6456679297,0.00360826930424078,87683.1764705882
Professionals,Claiming PP losses,104830.322981366,8050,32079.0935245741,0.00369834378517447,104830.322981366
Managers,Claiming PP losses,110888.317073171,6150,30232.9259105485,0.004925516578568,110888.317073171
Sales workers,Not claiming,33985.8357330262,781350,33985.8357330262,0.00172479877347643,33985.8357330262
Community workers,Not claiming,36456.0638018299,1027400,36456.0638018299,0.00121518495114956,36456.0638018299
Labourers,Not claiming,37798.5825419475,1016150,37798.5825419475,0.00313925540785795,37798.5825419475
"Consultants, apprentices ",Not claiming,41888.906441071,948600,41888.906441071,0.00294303132226193,41888.906441071
Clerical/Admin.,Not claiming,46451.2811461512,1474500,46451.2811461512,0.00186156710103232,46451.2811461512
Technicians & Trades Workers,Not claiming,61181.5308026585,1173600,61181.5308026585,0.00360826930424078,61181.5308026585
Machinery operators & drivers,Not claiming,61945.5817541506,596300,61945.5817541506,0.004756738713177,61945.5817541506
Professionals,Not claiming,72751.2294567924,2168600,72751.2294567924,0.00369834378517447,72751.2294567924
Managers,Not claiming,80655.3911626222,1242450,80655.3911626222,0.004925516578568,80655.3911626222
