"taxable_income_decile","new_vs_current","tax"
8,"mean_current_tax",15117.8
6,"mean_current_tax",6867.87
2,"mean_current_tax",0
5,"mean_current_tax",3998.85
3,"mean_current_tax",473.648
4,"mean_current_tax",2181.1
1,"mean_current_tax",0
9,"mean_current_tax",23010.6
10,"mean_current_tax",66515.3
7,"mean_current_tax",10465.6
8,"mean_new_tax",15296.2
6,"mean_new_tax",6973.57
2,"mean_new_tax",9.51244
5,"mean_new_tax",4082.79
3,"mean_new_tax",511.053
4,"mean_new_tax",2234.91
1,"mean_new_tax",21.0461
9,"mean_new_tax",23313.2
10,"mean_new_tax",67424.7
7,"mean_new_tax",10611.3
