"","V1","Name","Odds","slip_prob","impl_prob","Time"
"1","1.95","Tony Abbott",1.95,0.512820512820513,0.338663169711362,2015-09-14 13:51:52
"2","2.40","Malcolm Turnbull",2.4,0.416666666666667,0.275163825390482,2015-09-14 13:51:52
"3","4.00","Scott Morrison",4,0.25,0.165098295234289,2015-09-14 13:51:52
"4","9.00","Julie Bishop",9,0.111111111111111,0.0733770201041284,2015-09-14 13:51:52
"5","16.00","Joe Hockey",16,0.0625,0.0412745738085722,2015-09-14 13:51:52
"6","26.00","Andrew Robb",26,0.0384615384615385,0.0253997377283521,2015-09-14 13:51:52
"7","34.00","Mal Brough",34,0.0294117647058824,0.0194233288510928,2015-09-14 13:51:52
"8","41.00","Greg Hunt",41,0.024390243902439,0.0161071507545648,2015-09-14 13:51:52
"9","41.00","Christopher Pyne",41,0.024390243902439,0.0161071507545648,2015-09-14 13:51:52
"10","51.00","Peter Dutton",51,0.0196078431372549,0.0129488859007285,2015-09-14 13:51:52
"11","67.00","Tony Smith",67,0.0149253731343284,0.00985661464085307,2015-09-14 13:51:52
"12","251.00","Sophie Mirabella",251,0.00398406374501992,0.0026310485296301,2015-09-14 13:51:52
"13","251.00","Bronwyn Bishop",251,0.00398406374501992,0.0026310485296301,2015-09-14 13:51:52
"14","501.00","Clive Palmer",501,0.00199600798403194,0.00131815006175081,2015-09-14 13:51:52
1.95,Tony Abbott,1.95,0.512820512820513,0.338663169711362,2015-09-14T03:52:26Z
2.40,Malcolm Turnbull,2.4,0.416666666666667,0.275163825390482,2015-09-14T03:52:26Z
4.00,Scott Morrison,4,0.25,0.165098295234289,2015-09-14T03:52:26Z
9.00,Julie Bishop,9,0.111111111111111,0.0733770201041284,2015-09-14T03:52:26Z
16.00,Joe Hockey,16,0.0625,0.0412745738085722,2015-09-14T03:52:26Z
26.00,Andrew Robb,26,0.0384615384615385,0.0253997377283521,2015-09-14T03:52:26Z
34.00,Mal Brough,34,0.0294117647058824,0.0194233288510928,2015-09-14T03:52:26Z
41.00,Greg Hunt,41,0.024390243902439,0.0161071507545648,2015-09-14T03:52:26Z
41.00,Christopher Pyne,41,0.024390243902439,0.0161071507545648,2015-09-14T03:52:26Z
51.00,Peter Dutton,51,0.0196078431372549,0.0129488859007285,2015-09-14T03:52:26Z
67.00,Tony Smith,67,0.0149253731343284,0.00985661464085307,2015-09-14T03:52:26Z
251.00,Sophie Mirabella,251,0.00398406374501992,0.0026310485296301,2015-09-14T03:52:26Z
251.00,Bronwyn Bishop,251,0.00398406374501992,0.0026310485296301,2015-09-14T03:52:26Z
501.00,Clive Palmer,501,0.00199600798403194,0.00131815006175081,2015-09-14T03:52:26Z
