"","Sex","Tax.inc.bin","prop.over.10k"
"1",1,"[     0,    7163)",0.00456521739130435
"2",0,"[  7163,   17984)",0.011704834605598
"3",1,"[ 83920,  117952)",0.44203821656051
"4",0,"[ 34071,   42615)",0.0685146443514644
"5",1,"[ 42615,   52586)",0.0914751986257247
"6",0,"[ 83920,  117952)",0.488916256157635
"7",0,"[     0,    7163)",0.0111268939393939
"8",1,"[ 52586,   65465)",0.155055636187712
"9",0,"[ 42615,   52586)",0.0938775510204082
"10",1,"[ 17984,   25685)",0.0201793721973094
"11",1,"[ 25685,   34071)",0.0374707259953162
"12",1,"[  7163,   17984)",0.0120555782590928
"13",0,"[ 25685,   34071)",0.0424553812871823
"14",1,"[ 34071,   42615)",0.0627748900439824
"15",0,"[117952,13552202]",0.804148871262965
"16",1,"[ 65465,   83920)",0.257311510598336
"17",0,"[ 65465,   83920)",0.241907004120071
"18",0,"[ 52586,   65465)",0.140541693324803
"19",0,"[ 17984,   25685)",0.0273028833886195
"20",1,"[117952,13552202]",0.589766210851345
