"year","asset_type","returnz"
1,"Term deposit",0.465
2,"Term deposit",0.465
3,"Term deposit",0.465
4,"Term deposit",0.465
5,"Term deposit",0.465
6,"Term deposit",0.465
7,"Term deposit",0.465
8,"Term deposit",0.465
9,"Term deposit",0.465
10,"Term deposit",0.465
11,"Term deposit",0.465
12,"Term deposit",0.465
13,"Term deposit",0.465
14,"Term deposit",0.465
15,"Term deposit",0.465
16,"Term deposit",0.465
17,"Term deposit",0.465
18,"Term deposit",0.465
19,"Term deposit",0.465
20,"Term deposit",0.465
21,"Term deposit",0.465
22,"Term deposit",0.465
23,"Term deposit",0.465
24,"Term deposit",0.465
25,"Term deposit",0.465
26,"Term deposit",0.465
27,"Term deposit",0.465
28,"Term deposit",0.465
29,"Term deposit",0.465
30,"Term deposit",0.465
1,"Property (no CGT discount)",0.465
2,"Property (no CGT discount)",0.45661
3,"Property (no CGT discount)",0.44826
4,"Property (no CGT discount)",0.43996
5,"Property (no CGT discount)",0.431718
6,"Property (no CGT discount)",0.423543
7,"Property (no CGT discount)",0.415443
8,"Property (no CGT discount)",0.407426
9,"Property (no CGT discount)",0.399498
10,"Property (no CGT discount)",0.391668
11,"Property (no CGT discount)",0.38394
12,"Property (no CGT discount)",0.37632
13,"Property (no CGT discount)",0.368815
14,"Property (no CGT discount)",0.361428
15,"Property (no CGT discount)",0.354165
16,"Property (no CGT discount)",0.347027
17,"Property (no CGT discount)",0.34002
18,"Property (no CGT discount)",0.333144
19,"Property (no CGT discount)",0.326404
20,"Property (no CGT discount)",0.3198
21,"Property (no CGT discount)",0.313333
22,"Property (no CGT discount)",0.307005
23,"Property (no CGT discount)",0.300816
24,"Property (no CGT discount)",0.294766
25,"Property (no CGT discount)",0.288854
26,"Property (no CGT discount)",0.283082
27,"Property (no CGT discount)",0.277446
28,"Property (no CGT discount)",0.271947
29,"Property (no CGT discount)",0.266583
30,"Property (no CGT discount)",0.261353
1,"Property (50 CGT discount)",0.2325
2,"Property (50 CGT discount)",0.226574
3,"Property (50 CGT discount)",0.220795
4,"Property (50 CGT discount)",0.215164
5,"Property (50 CGT discount)",0.209679
6,"Property (50 CGT discount)",0.204341
7,"Property (50 CGT discount)",0.199148
8,"Property (50 CGT discount)",0.1941
9,"Property (50 CGT discount)",0.189193
10,"Property (50 CGT discount)",0.184427
11,"Property (50 CGT discount)",0.179799
12,"Property (50 CGT discount)",0.175308
13,"Property (50 CGT discount)",0.17095
14,"Property (50 CGT discount)",0.166723
15,"Property (50 CGT discount)",0.162625
16,"Property (50 CGT discount)",0.158652
17,"Property (50 CGT discount)",0.154802
18,"Property (50 CGT discount)",0.151071
19,"Property (50 CGT discount)",0.147457
20,"Property (50 CGT discount)",0.143956
21,"Property (50 CGT discount)",0.140566
22,"Property (50 CGT discount)",0.137283
23,"Property (50 CGT discount)",0.134104
24,"Property (50 CGT discount)",0.131026
25,"Property (50 CGT discount)",0.128046
26,"Property (50 CGT discount)",0.125162
27,"Property (50 CGT discount)",0.122369
28,"Property (50 CGT discount)",0.119665
29,"Property (50 CGT discount)",0.117048
30,"Property (50 CGT discount)",0.114514
