"Decile","avg_net_cg","Decile_of","prop_net_cg"
"8",326.684,"taxable income pre CG",0.046929
"6",194.473,"taxable income pre CG",0.0279365
"2",108.295,"taxable income pre CG",0.0155569
"5",171.864,"taxable income pre CG",0.0246887
"3",128.327,"taxable income pre CG",0.0184346
"4",181.042,"taxable income pre CG",0.0260072
"1",239.445,"taxable income pre CG",0.034397
"9",708.466,"taxable income pre CG",0.101773
"10",4616.49,"taxable income pre CG",0.663171
"7",286.151,"taxable income pre CG",0.0411063
"8",419.485,"taxable income",0.0602609
"6",312.815,"taxable income",0.0449374
"2",399.005,"taxable income",0.0573189
"5",304.297,"taxable income",0.0437137
"3",353.016,"taxable income",0.0507124
"4",359.637,"taxable income",0.0516636
"1",1841.32,"taxable income",0.264515
"9",509.753,"taxable income",0.0732283
"10",2151.21,"taxable income",0.309031
"7",310.596,"taxable income",0.0446186
