New_Age,Decile,New_Age,avg_net_cg,prop_net_cg
50 to 65,1,50 to 65,4978.97,0.38353
50 to 65,2,50 to 65,833.95,0.0642391
50 to 65,3,50 to 65,580.851,0.0447429
50 to 65,4,50 to 65,713.782,0.0549825
50 to 65,5,50 to 65,679.542,0.0523451
50 to 65,6,50 to 65,456.542,0.0351674
50 to 65,7,50 to 65,358.983,0.0276525
50 to 65,8,50 to 65,497.89,0.0383524
50 to 65,9,50 to 65,563.809,0.0434302
50 to 65,10,50 to 65,3317.65,0.255558
65 and over,1,65 and over,2006.58,0.0931047
65 and over,2,65 and over,979.229,0.0454359
65 and over,3,65 and over,1076.69,0.0499579
65 and over,4,65 and over,679.852,0.0315449
65 and over,5,65 and over,586.731,0.0272241
65 and over,6,65 and over,1572.21,0.0729501
65 and over,7,65 and over,2033.19,0.0943395
65 and over,8,65 and over,1762.78,0.0817926
65 and over,9,65 and over,2896.18,0.134382
65 and over,10,65 and over,7958.42,0.369268
Under 50,1,Under 50,529.864,0.173792
Under 50,2,Under 50,126.804,0.0415908
Under 50,3,Under 50,120.151,0.0394088
Under 50,4,Under 50,167.942,0.0550839
Under 50,5,Under 50,125.66,0.0412156
Under 50,6,Under 50,140.014,0.0459238
Under 50,7,Under 50,159.239,0.0522295
Under 50,8,Under 50,303.382,0.0995074
Under 50,9,Under 50,346.083,0.113513
Under 50,10,Under 50,1029.7,0.337736
